species_name,siteID,year,ba,trees,reg,dbh,growth,n_at_risk,n_died,mort,species
Pinus ponderosa,9,2,0.165049827166428,0.5,4.16666666666667,64.77,0.0350194552529182,1,0,0,2
Pinus contorta,9,2,0.044149422653765,1.25,4.16666666666667,21.8016666666667,0.0710081468932184,4,0,0,3
Abies concolor,9,2,0,0,0,,,0,0,,4
Abies grandis,9,2,1.1071191055358,6,12.5,43.4462464285714,0.07749394325787,22,1,0.0454545454545455,5
Tsuga heterophylla,9,2,0,0,0,,,0,0,,6
Tsuga mertensiana,9,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,9,2,0,0,0,,,0,0,,8
Alnus rubra,9,2,0,0,0,,,0,0,,9
Abies amabilis,9,2,0,0,0,,,0,0,,10
other,9,2,0.0321873258409708,0.5,0,28.321,0.175706214689266,2,0,0,11
Pseudotsuga menziesii,10,1,6.82122767810084,10,12.5,91.8703888888889,0.0649355963028867,37,0,0,1
Pinus ponderosa,10,1,0,0,0,,,0,0,,2
Pinus contorta,10,1,0,0,0,,,0,0,,3
Abies concolor,10,1,0,0,0,,,0,0,,4
Abies grandis,10,1,0,0,0,,,0,0,,5
Tsuga heterophylla,10,1,0.15785078065715,0.25,0,89.662,0.0231884057971015,1,0,0,6
Tsuga mertensiana,10,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,10,1,0,0,0,,,0,0,,8
Alnus rubra,10,1,0,0,0,,,0,0,,9
Abies amabilis,10,1,0,0,0,,,0,0,,10
other,10,1,0.068791874130974,0.75,0,31.9193333333333,0.0507556886136313,0,0,,11
Pseudotsuga menziesii,10,2,7.30172697961071,9.75,0,98.5823388888889,0.0350182745422224,40,1,0.025,1
Pinus ponderosa,10,2,0,0,0,,,0,0,,2
Pinus contorta,10,2,0,0,0,,,0,0,,3
Abies concolor,10,2,0,0,0,,,0,0,,4
Abies grandis,10,2,0,0,0,,,0,0,,5
Tsuga heterophylla,10,2,0.163262416533912,0.25,0,91.186,0.0169971671388103,1,0,0,6
Tsuga mertensiana,10,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,10,2,0,0,0,,,0,0,,8
Alnus rubra,10,2,0,0,0,,,0,0,,9
Abies amabilis,10,2,0,0,0,,,0,0,,10
other,10,2,0.0726352503599285,0.75,0,32.9353333333333,0.036749732708282,3,0,0,11
Pseudotsuga menziesii,11,1,0.592586796192337,4.5,4.16666666666667,44.35475,0.172514715481493,17,0,0,1
Pinus ponderosa,11,1,0,0,0,,,0,0,,2
Pinus contorta,11,1,0,0,0,,,0,0,,3
Abies concolor,11,1,0,0,0,,,0,0,,4
Abies grandis,11,1,0,0,0,,,0,0,,5
Tsuga heterophylla,11,1,0,0,0,,,0,0,,6
Tsuga mertensiana,11,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,11,1,0,0,0,,,0,0,,8
Alnus rubra,11,1,0,0,0,,,0,0,,9
Abies amabilis,11,1,0,0,0,,,0,0,,10
other,11,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,11,2,0.714139586584338,4.25,0,49.7409107142857,0.107447170467819,18,1,0.0555555555555556,1
Pinus ponderosa,11,2,0,0,0,,,0,0,,2
