"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ","Art","dDg_dt","thin_N_frac","thin_G_frac","Dg_aus_rel"
1,40,530,24.7,26.8,38.3,30.3,36.8,410,85,5.6,29,59,26.4,599,15,"Douglasie",0.7,0.138211382113821,0.12756264236902,0.957095709570957
1,45,480,27.2,29.3,41.5,33.2,41.7,478,50,5.7,38.1,65,26.6,731,16.3,"Douglasie",0.58,0.0943396226415094,0.120762711864407,1.14759036144578
1,50,445,29.3,31.5,44.1,35.5,46.5,540,35,5.7,45.7,69,26.4,863,17.3,"Douglasie",0.459999999999999,0.0729166666666667,0.114457831325301,1.28732394366197
1,55,416,31.3,33.5,46.4,37.7,51.3,599,30,5.6,49.1,72,26,993,18.1,"Douglasie",0.440000000000001,0.0672645739910314,0.107692307692308,1.30238726790451
1,60,387,33,35.3,48.3,39.9,56,653,29,5.4,49.1,73,25.5,1121,18.7,"Douglasie",0.439999999999999,0.0697115384615385,0.100558659217877,1.23057644110276
1,65,359,34.6,36.9,50,42.1,60.6,703,28,5.3,48.7,74,24.9,1245,19.2,"Douglasie",0.440000000000001,0.0723514211886305,0.0958408679927667,1.15676959619953
1,70,331,36,38.4,51.4,44.4,65.1,750,27,5.1,48.8,74,24.2,1366,19.5,"Douglasie",0.459999999999999,0.0754189944134078,0.0902654867256637,1.0990990990991
1,75,306,37.3,39.7,52.6,46.8,69.6,793,26,4.9,49.3,74,23.5,1484,19.8,"Douglasie",0.48,0.0783132530120482,0.0852173913043478,1.0534188034188
1,80,282,38.5,41,53.6,49.2,74,834,24,4.7,50.4,73,22.9,1598,20,"Douglasie",0.480000000000001,0.0784313725490196,0.0806174957118353,1.02439024390244
1,85,260,39.6,42.1,54.3,51.5,78.3,873,22,4.6,52,72,22.2,1709,20.1,"Douglasie",0.459999999999999,0.0780141843971631,0.0780984719864177,1.00970873786408
1,90,241,40.6,43.1,54.9,53.9,82.6,909,20,4.4,53.3,71,21.5,1817,20.2,"Douglasie",0.48,0.0766283524904215,0.0741989881956155,0.98886827458256
1,95,222,41.5,44.1,55.6,56.5,86.9,943,19,4.3,53.7,70,20.9,1921,20.2,"Douglasie",0.52,0.0788381742738589,0.0717863105175292,0.950442477876106
1,100,204,42.4,45,56.6,59.5,91.1,975,18,4.1,53.7,69,20.3,2023,20.2,"Douglasie",0.6,0.0810810810810811,0.0675453047775947,0.902521008403361
1,105,187,43.2,45.8,57.8,62.8,95.2,1006,17,4,54.1,68,19.7,2121,20.2,"Douglasie",0.66,0.0833333333333333,0.0647249190938511,0.861464968152866
1,110,171,44,46.6,59.1,66.4,99.3,1035,16,3.8,55.1,67,19.1,2217,20.2,"Douglasie",0.720000000000002,0.0855614973262032,0.0604133545310016,0.829819277108434
1,115,156,44.7,47.4,60.4,70.3,103.3,1062,15,3.7,56.2,65,18.6,2309,20.1,"Douglasie",0.779999999999998,0.087719298245614,0.0577223088923557,0.799431009957326
2,20,2207,8.5,10.1,14.5,9.2,14.3,59,1072,1,3.4,5,10.3,66,3.3,"Douglasie",NA,0.326928941750534,0.0645161290322581,0.369565217391304
2,25,1524,12.3,14,20.7,13.2,19,122,683,2.7,7.1,16,15.8,145,5.8,"Douglasie",0.8,0.309469868599909,0.115384615384615,0.537878787878788
2,30,1103,15.6,17.4,26,17.3,23.6,188,420,4,11.1,29,19.2,241,8,"Douglasie",0.82,0.275771503611293,0.133333333333333,0.641618497109827
2,35,850,18.6,20.5,30.5,21.4,28.1,254,253,4.8,15.5,40,21.1,346,9.9,"Douglasie",0.82,0.229374433363554,0.135977337110482,0.724299065420561
2,40,700,21.2,23.2,34.2,24.9,32.5,317,150,5.2,21,48,22.2,457,11.4,"Douglasie",0.7,0.176470588235294,0.131979695431472,0.843373493975904
2,45,609,23.5,25.5,37.4,27.9,36.8,376,91,5.3,27.3,54,22.6,570,12.7,"Douglasie",0.6,0.13,0.124121779859485,0.978494623655914
2,50,553,25.5,27.6,40,30.4,41.1,432,57,5.3,34.5,58,22.7,684,13.7,"Douglasie",0.5,0.0934426229508197,0.116997792494481,1.13486842105263
2,55,513,27.4,29.5,42.3,32.4,45.3,485,39,5.2,41.3,60,22.5,797,14.5,"Douglasie",0.4,0.0706521739130435,0.109473684210526,1.27469135802469
2,60,482,29,31.2,44.2,34.2,49.5,534,31,5.1,46,62,22.2,908,15.1,"Douglasie",0.360000000000001,0.0604288499025341,0.103448275862069,1.34502923976608
2,65,456,30.4,32.7,45.9,35.8,53.7,581,27,5,48.7,63,21.8,1017,15.6,"Douglasie",0.319999999999999,0.0559006211180124,0.0982318271119843,1.36033519553073
2,70,431,31.7,34,47.3,37.4,57.9,624,25,4.8,49.9,63,21.3,1123,16,"Douglasie",0.32,0.0548245614035088,0.0921305182341651,1.33422459893048
2,75,407,32.9,35.2,48.5,38.9,62,666,24,4.7,50,63,20.8,1228,16.4,"Douglasie",0.3,0.0556844547563805,0.0883458646616541,1.2853470437018
2,80,384,34,36.4,49.5,40.5,66.1,705,23,4.5,50,62,20.3,1329,16.6,"Douglasie",0.32,0.0565110565110565,0.0833333333333333,1.23456790123457
2,85,362,35,37.4,50.2,42,70.1,742,22,4.4,50.3,62,19.8,1428,16.8,"Douglasie",0.3,0.0572916666666667,0.0805860805860806,1.19761904761905
2,90,341,35.9,38.3,50.8,43.5,74.2,776,21,4.2,50.2,61,19.2,1524,16.9,"Douglasie",0.3,0.0580110497237569,0.0763636363636364,1.15402298850575
