siteID,year,ba,dbh,trees,growth,mort,reg,species,species_name
184,2,0,,0,,,0,1,Abies amabilis
185,1,0,,0,,,0,1,Abies amabilis
185,2,0,,0,,,0,1,Abies amabilis
186,1,0,,0,,,0,1,Abies amabilis
186,2,0,,0,,,0,1,Abies amabilis
187,1,0,,0,,,0,1,Abies amabilis
187,2,0,,0,,,0,1,Abies amabilis
188,1,0,,0,,,0,1,Abies amabilis
188,2,0,,0,,,0,1,Abies amabilis
189,1,0,,0,,,0,1,Abies amabilis
189,2,0,,0,,,0,1,Abies amabilis
190,1,0,,0,,,0,1,Abies amabilis
190,2,0,,0,,,0,1,Abies amabilis
191,1,0,,0,,,0,1,Abies amabilis
191,2,0,,0,,,0,1,Abies amabilis
192,1,0,,0,,,0,1,Abies amabilis
192,2,0,,0,,,0,1,Abies amabilis
193,1,0,,0,,,0,1,Abies amabilis
193,2,0,,0,,,0,1,Abies amabilis
194,1,0,,0,,,0,1,Abies amabilis
194,2,0,,0,,,0,1,Abies amabilis
195,1,0,,0,,,0,1,Abies amabilis
195,2,0,,0,,,0,1,Abies amabilis
196,1,0,,0,,,0,1,Abies amabilis
196,2,0,,0,,,0,1,Abies amabilis
197,1,0,,0,,,0,1,Abies amabilis
197,2,0,,0,,,0,1,Abies amabilis
198,1,0,,0,,,0,1,Abies amabilis
198,2,0,,0,,,0,1,Abies amabilis
199,1,0,,0,,,0,1,Abies amabilis
199,2,0,,0,,,0,1,Abies amabilis
200,1,0,,0,,,0,1,Abies amabilis
200,2,0,,0,,,0,1,Abies amabilis
201,1,0,,0,,,0,1,Abies amabilis
201,2,0,,0,,,0,1,Abies amabilis
202,1,0,,0,,,0,1,Abies amabilis
202,2,0,,0,,,0,1,Abies amabilis
203,1,0,,0,,,0,1,Abies amabilis
203,2,0,,0,,,0,1,Abies amabilis
204,1,0,,0,,,0,1,Abies amabilis
204,2,0,,0,,,0,1,Abies amabilis
205,1,0,,0,,,0,1,Abies amabilis
205,2,0,,0,,,0,1,Abies amabilis
206,1,0,,0,,,0,1,Abies amabilis
206,2,0,,0,,,0,1,Abies amabilis
207,1,0,,0,,,0,1,Abies amabilis
207,2,0,,0,,,0,1,Abies amabilis
208,1,0,,0,,,0,1,Abies amabilis
208,2,0,,0,,,0,1,Abies amabilis
209,1,0,,0,,,0,1,Abies amabilis
209,2,0,,0,,,0,1,Abies amabilis
210,1,0,,0,,,0,1,Abies amabilis
210,2,0,,0,,,0,1,Abies amabilis
211,1,0,,0,,,0,1,Abies amabilis
211,2,0,,0,,,0,1,Abies amabilis
212,1,0,,0,,,0,1,Abies amabilis
212,2,0,,0,,,0,1,Abies amabilis
213,1,0,,0,,,0,1,Abies amabilis
213,2,0,,0,,,0,1,Abies amabilis
214,1,0,,0,,,0,1,Abies amabilis
214,2,0,,0,,,0,1,Abies amabilis
215,1,0,,0,,,0,1,Abies amabilis
215,2,0,,0,,,0,1,Abies amabilis
216,1,0,,0,,,0,1,Abies amabilis
216,2,0,,0,,,0,1,Abies amabilis
217,1,0,,0,,,0,1,Abies amabilis
217,2,0,,0,,,0,1,Abies amabilis
218,1,0,,0,,,0,1,Abies amabilis
218,2,0,,0,,,0,1,Abies amabilis
219,1,0,,0,,,0,1,Abies amabilis
219,2,0,,0,,,0,1,Abies amabilis
220,1,0,,0,,,0,1,Abies amabilis
220,2,0,,0,,,0,1,Abies amabilis
221,1,0,,0,,,0,1,Abies amabilis
221,2,0,,0,,,0,1,Abies amabilis
222,1,0,,0,,,0,1,Abies amabilis
222,2,0,,0,,,0,1,Abies amabilis
223,1,0,,0,,,0,1,Abies amabilis
223,2,0,,0,,,0,1,Abies amabilis
224,1,0,,0,,,0,1,Abies amabilis
224,2,0,,0,,,0,1,Abies amabilis
